place,id,year,latitude,longitude,mag
central Peru,iscgem898103,1947,-10.973,-74.725,7.6
Central Alaska,iscgem898078,1947,64.131,-148.613,7.2
southern Greece,iscgem898058,1947,36.728,21.897,7.3
eastern Xizang-India border region,iscgem897970,1947,28.576,93.628,7.3
Mariana Islands region,iscgem897910,1947,21.6,145.464,7.2
Mariana Islands region,iscgem897893,1947,21.722,145.567,7
Molucca Sea,iscgem897890,1947,1.201,126.156,7
"Leyte, Philippines",iscgem897883,1947,11.182,124.658,7
"near the north coast of Papua, Indonesia",iscgem897871,1947,-1.86,134.986,7.6
"near the north coast of Papua, Indonesia",iscgem897799,1947,-1.159,137.847,7.3
North Island of New Zealand,iscgem897790,1947,-38.951,177.562,7
"Qinghai-Sichuan border region, China",iscgem897783,1947,33.479,99.529,7.3
"1946 Nankai Earthquake, Japan",iscgem898698,1946,33.116,135.895,8.3
Kyrgyzstan,iscgemsup898647,1946,41.757,71.854,7.5
"Andreanof Islands, Aleutian Islands, Alaska",iscgem898643,1946,51.752,-174.453,7
"New Ireland region, Papua New Guinea",iscgem898610,1946,-5.158,153.379,7.8
Myanmar,iscgem898579,1946,24.054,95.666,8
Dominican Republic region,iscgem898519,1946,19.538,-69.657,7
Dominican Republic region,iscgem898498,1946,19.083,-69.248,7.5
"Vancouver Island, Canada region",ushis1554,1946,49.76,-125.34,7.3
"southern Sumatra, Indonesia",iscgem898378,1946,-0.746,99.096,7.3
"1946 Aleutian Islands (Unimak Island) Earthquake, Alaska",official19460401122901_30,1946,53.492,-162.832,8.6
off the coast of Pakistan,iscgem899220,1945,24.927,63.601,8.1
off the west coast of the South Island of New Zealand,iscgem899073,1945,-46.939,166.022,7.5
